date,province,employment_rate,unemployment_rate,participation_rate,employed_thousands,unemployed_thousands,population_thousands,year,month,year_month,period,province_code,baseline_emp_rate,baseline_unemp_rate,emp_rate_vs_baseline,unemp_rate_vs_baseline
2020-12-01,Ontario,60.46,6.27,44.71,5995.5,621.5,14800.0,2020,12,2020-12,Early Recovery,ON,61.27,5.54,-0.8100000000000023,0.7299999999999995
2021-01-01,Ontario,61.04,5.69,44.71,6053.1,564.3,14800.0,2021,1,2021-01,Early Recovery,ON,61.27,5.54,-0.23000000000000398,0.15000000000000036
2021-02-01,Ontario,61.04,5.83,44.8,6052.7,578.0,14800.0,2021,2,2021-02,Early Recovery,ON,61.27,5.54,-0.23000000000000398,0.29000000000000004
2021-03-01,Ontario,60.84,5.93,44.73,6032.9,587.9,14800.0,2021,3,2021-03,Early Recovery,ON,61.27,5.54,-0.4299999999999997,0.3899999999999997
2021-04-01,Ontario,61.18,5.96,44.99,6066.7,591.1,14800.0,2021,4,2021-04,Early Recovery,ON,61.27,5.54,-0.09000000000000341,0.41999999999999993
2021-05-01,Ontario,60.81,5.84,44.65,6029.6,578.8,14800.0,2021,5,2021-05,Early Recovery,ON,61.27,5.54,-0.46000000000000085,0.2999999999999998
2021-06-01,Ontario,61.04,5.97,44.89,6052.9,591.5,14800.0,2021,6,2021-06,Early Recovery,ON,61.27,5.54,-0.23000000000000398,0.4299999999999997
2021-07-01,Ontario,60.88,5.85,44.71,6036.8,580.0,14800.0,2021,7,2021-07,Full Recovery,ON,61.27,5.54,-0.39000000000000057,0.3099999999999996
2021-08-01,Ontario,60.75,5.75,44.56,6024.3,570.0,14800.0,2021,8,2021-08,Full Recovery,ON,61.27,5.54,-0.5200000000000031,0.20999999999999996
2021-09-01,Ontario,61.14,6.0,44.98,6062.4,595.3,14800.0,2021,9,2021-09,Full Recovery,ON,61.27,5.54,-0.13000000000000256,0.45999999999999996
2021-10-01,Ontario,60.96,5.97,44.84,6044.9,591.8,14800.0,2021,10,2021-10,Full Recovery,ON,61.27,5.54,-0.3100000000000023,0.4299999999999997
2021-11-01,Ontario,61.05,5.8,44.79,6053.5,575.4,14800.0,2021,11,2021-11,Full Recovery,ON,61.27,5.54,-0.22000000000000597,0.2599999999999998
2021-12-01,Ontario,61.15,5.95,44.96,6063.9,589.8,14800.0,2021,12,2021-12,Full Recovery,ON,61.27,5.54,-0.12000000000000455,0.41000000000000014
2022-01-01,Ontario,61.49,5.66,44.99,6097.6,560.9,14800.0,2022,1,2022-01,Full Recovery,ON,61.27,5.54,0.21999999999999886,0.1200000000000001
2022-02-01,Ontario,60.98,5.58,44.59,6046.4,553.5,14800.0,2022,2,2022-02,Full Recovery,ON,61.27,5.54,-0.29000000000000625,0.040000000000000036
2022-03-01,Ontario,61.52,5.47,44.88,6100.1,542.4,14800.0,2022,3,2022-03,Full Recovery,ON,61.27,5.54,0.25,-0.07000000000000028
2022-04-01,Ontario,61.52,5.3,44.77,6100.2,525.7,14800.0,2022,4,2022-04,Full Recovery,ON,61.27,5.54,0.25,-0.2400000000000002
2022-05-01,Ontario,61.46,5.54,44.88,6094.0,548.9,14800.0,2022,5,2022-05,Full Recovery,ON,61.27,5.54,0.18999999999999773,0.0
2022-06-01,Ontario,61.8,5.45,45.05,6127.6,540.2,14800.0,2022,6,2022-06,Full Recovery,ON,61.27,5.54,0.529999999999994,-0.08999999999999986
2022-07-01,Ontario,61.34,5.45,44.75,6082.3,540.4,14800.0,2022,7,2022-07,Post-Recovery,ON,61.27,5.54,0.07000000000000028,-0.08999999999999986
2022-08-01,Ontario,61.68,5.53,45.03,6116.5,548.6,14800.0,2022,8,2022-08,Post-Recovery,ON,61.27,5.54,0.4099999999999966,-0.009999999999999787
2022-09-01,Ontario,61.39,5.55,44.85,6087.8,550.5,14800.0,2022,9,2022-09,Post-Recovery,ON,61.27,5.54,0.11999999999999744,0.009999999999999787
2022-10-01,Ontario,61.52,5.6,44.97,6100.3,555.0,14800.0,2022,10,2022-10,Post-Recovery,ON,61.27,5.54,0.25,0.05999999999999961
2022-11-01,Ontario,61.36,5.47,44.77,6084.4,542.1,14800.0,2022,11,2022-11,Post-Recovery,ON,61.27,5.54,0.0899999999999963,-0.07000000000000028
2022-12-01,Ontario,61.42,5.35,44.74,6090.6,530.9,14800.0,2022,12,2022-12,Post-Recovery,ON,61.27,5.54,0.14999999999999858,-0.1900000000000004
2023-01-01,Ontario,61.56,5.53,44.95,6104.2,548.0,14800.0,2023,1,2023-01,Post-Recovery,ON,61.27,5.54,0.28999999999999915,-0.009999999999999787
2023-02-01,Ontario,61.5,5.48,44.87,6098.4,543.1,14800.0,2023,2,2023-02,Post-Recovery,ON,61.27,5.54,0.22999999999999687,-0.05999999999999961
2023-03-01,Ontario,61.22,5.46,44.67,6070.3,541.2,14800.0,2023,3,2023-03,Post-Recovery,ON,61.27,5.54,-0.05000000000000426,-0.08000000000000007
2023-04-01,Ontario,61.43,5.42,44.79,6091.5,537.4,14800.0,2023,4,2023-04,Post-Recovery,ON,61.27,5.54,0.1599999999999966,-0.1200000000000001
2023-05-01,Ontario,61.47,5.54,44.9,6095.1,549.4,14800.0,2023,5,2023-05,Post-Recovery,ON,61.27,5.54,0.19999999999999574,0.0
2023-06-01,Ontario,61.88,5.52,45.15,6135.7,547.1,14800.0,2023,6,2023-06,Post-Recovery,ON,61.27,5.54,0.6099999999999994,-0.020000000000000462
2023-07-01,Ontario,61.55,5.49,44.92,6103.4,544.6,14800.0,2023,7,2023-07,Post-Recovery,ON,61.27,5.54,0.27999999999999403,-0.04999999999999982
2023-08-01,Ontario,61.12,5.5,44.63,6060.3,545.1,14800.0,2023,8,2023-08,Post-Recovery,ON,61.27,5.54,-0.15000000000000568,-0.040000000000000036
2023-09-01,Ontario,61.51,5.75,45.06,6099.5,569.8,14800.0,2023,9,2023-09,Post-Recovery,ON,61.27,5.54,0.23999999999999488,0.20999999999999996
2023-10-01,Ontario,61.46,5.53,44.88,6094.5,548.4,14800.0,2023,10,2023-10,Post-Recovery,ON,61.27,5.54,0.18999999999999773,-0.009999999999999787
2023-11-01,Ontario,61.49,5.38,44.81,6097.7,533.8,14800.0,2023,11,2023-11,Post-Recovery,ON,61.27,5.54,0.21999999999999886,-0.16000000000000014
2023-12-01,Ontario,61.73,5.58,45.09,6121.0,552.8,14800.0,2023,12,2023-12,Post-Recovery,ON,61.27,5.54,0.45999999999999375,0.040000000000000036
2024-01-01,Ontario,61.66,5.41,44.94,6114.0,536.4,14800.0,2024,1,2024-01,Post-Recovery,ON,61.27,5.54,0.38999999999999346,-0.1299999999999999
2024-02-01,Ontario,61.78,5.36,44.98,6126.2,531.5,14800.0,2024,2,2024-02,Post-Recovery,ON,61.27,5.54,0.509999999999998,-0.17999999999999972
2024-03-01,Ontario,61.62,5.72,45.12,6110.0,567.1,14800.0,2024,3,2024-03,Post-Recovery,ON,61.27,5.54,0.3499999999999943,0.17999999999999972
2024-04-01,Ontario,61.3,5.44,44.72,6078.7,539.8,14800.0,2024,4,2024-04,Post-Recovery,ON,61.27,5.54,0.02999999999999403,-0.09999999999999964
2024-05-01,Ontario,61.52,5.45,44.87,6100.3,540.4,14800.0,2024,5,2024-05,Post-Recovery,ON,61.27,5.54,0.25,-0.08999999999999986
2024-06-01,Ontario,61.19,5.51,44.69,6067.6,546.1,14800.0,2024,6,2024-06,Post-Recovery,ON,61.27,5.54,-0.0800000000000054,-0.03000000000000025
2024-07-01,Ontario,61.29,5.55,44.78,6077.3,550.1,14800.0,2024,7,2024-07,Post-Recovery,ON,61.27,5.54,0.01999999999999602,0.009999999999999787
2024-08-01,Ontario,61.32,5.65,44.87,6080.1,560.7,14800.0,2024,8,2024-08,Post-Recovery,ON,61.27,5.54,0.04999999999999716,0.11000000000000032
2024-09-01,Ontario,61.34,5.47,44.76,6082.8,542.2,14800.0,2024,9,2024-09,Post-Recovery,ON,61.27,5.54,0.07000000000000028,-0.07000000000000028
2024-10-01,Ontario,61.66,5.38,44.92,6114.5,533.2,14800.0,2024,10,2024-10,Post-Recovery,ON,61.27,5.54,0.38999999999999346,-0.16000000000000014
2024-11-01,Ontario,61.55,5.63,45.01,6102.9,558.3,14800.0,2024,11,2024-11,Post-Recovery,ON,61.27,5.54,0.27999999999999403,0.08999999999999986
2024-12-01,Ontario,61.18,5.52,44.69,6066.5,547.2,14800.0,2024,12,2024-12,Post-Recovery,ON,61.27,5.54,-0.09000000000000341,-0.020000000000000462
2019-01-01,Quebec,60.05,5.28,43.77,3500.4,307.7,8700.0,2019,1,2019-01,Pre-COVID (2019),QC,59.82,5.12,0.22999999999999687,0.16000000000000014
2019-02-01,Quebec,59.75,5.07,43.43,3483.0,295.4,8700.0,2019,2,2019-02,Pre-COVID (2019),QC,59.82,5.12,-0.07000000000000028,-0.04999999999999982
2019-03-01,Quebec,60.1,5.23,43.77,3503.5,304.8,8700.0,2019,3,2019-03,Pre-COVID (2019),QC,59.82,5.12,0.28000000000000114,0.11000000000000032
2019-04-01,Quebec,60.05,5.23,43.74,3500.3,305.1,8700.0,2019,4,2019-04,Pre-COVID (2019),QC,59.82,5.12,0.22999999999999687,0.11000000000000032
2019-05-01,Quebec,59.86,5.22,43.61,3489.5,304.5,8700.0,2019,5,2019-05,Pre-COVID (2019),QC,59.82,5.12,0.03999999999999915,0.09999999999999964
2019-06-01,Quebec,60.06,5.13,43.68,3500.8,298.9,8700.0,2019,6,2019-06,Pre-COVID (2019),QC,59.82,5.12,0.240000000000002,0.009999999999999787
2019-07-01,Quebec,60.37,5.25,43.97,3519.2,305.9,8700.0,2019,7,2019-07,Pre-COVID (2019),QC,59.82,5.12,0.5499999999999972,0.1299999999999999
2019-08-01,Quebec,59.76,5.27,43.57,3483.5,306.9,8700.0,2019,8,2019-08,Pre-COVID (2019),QC,59.82,5.12,-0.060000000000002274,0.14999999999999947
2019-09-01,Quebec,59.81,5.28,43.61,3486.0,307.7,8700.0,2019,9,2019-09,Pre-COVID (2019),QC,59.82,5.12,-0.00999999999999801,0.16000000000000014
2019-10-01,Quebec,60.23,5.12,43.78,3510.9,298.3,8700.0,2019,10,2019-10,Pre-COVID (2019),QC,59.82,5.12,0.4099999999999966,0.0
2019-11-01,Quebec,60.19,5.24,43.84,3508.6,305.5,8700.0,2019,11,2019-11,Pre-COVID (2019),QC,59.82,5.12,0.36999999999999744,0.1200000000000001
2019-12-01,Quebec,60.16,5.39,43.92,3507.0,314.2,8700.0,2019,12,2019-12,Pre-COVID (2019),QC,59.82,5.12,0.3399999999999963,0.2699999999999996
2020-01-01,Quebec,59.95,5.12,43.6,3494.5,298.7,8700.0,2020,1,2020-01,Pre-COVID (2020),QC,59.82,5.12,0.13000000000000256,0.0
2020-02-01,Quebec,59.82,5.12,43.51,3487.0,298.4,8700.0,2020,2,2020-02,Pre-COVID (2020),QC,59.82,5.12,0.0,0.0
2020-03-01,Quebec,56.83,7.44,43.06,3312.9,433.6,8700.0,2020,3,2020-03,COVID Shock,QC,59.82,5.12,-2.990000000000002,2.3200000000000003
2020-04-01,Quebec,50.08,12.27,41.77,2919.2,714.9,8700.0,2020,4,2020-04,COVID Shock,QC,59.82,5.12,-9.740000000000002,7.1499999999999995
2020-05-01,Quebec,53.18,10.12,42.41,3099.7,590.1,8700.0,2020,5,2020-05,COVID Shock,QC,59.82,5.12,-6.640000000000001,4.999999999999999
2020-06-01,Quebec,55.75,8.41,42.99,3249.5,490.3,8700.0,2020,6,2020-06,COVID Shock,QC,59.82,5.12,-4.07,3.29
2020-07-01,Quebec,57.5,6.95,43.18,3351.7,405.2,8700.0,2020,7,2020-07,Early Recovery,QC,59.82,5.12,-2.3200000000000003,1.83
2020-08-01,Quebec,58.0,6.5,43.21,3380.9,378.8,8700.0,2020,8,2020-08,Early Recovery,QC,59.82,5.12,-1.8200000000000003,1.38
2020-09-01,Quebec,58.38,6.37,43.39,3403.0,371.5,8700.0,2020,9,2020-09,Early Recovery,QC,59.82,5.12,-1.4399999999999977,1.25
2020-10-01,Quebec,58.73,6.15,43.47,3423.4,358.4,8700.0,2020,10,2020-10,Early Recovery,QC,59.82,5.12,-1.0900000000000034,1.0300000000000002
2020-11-01,Quebec,58.68,5.86,43.24,3420.2,341.4,8700.0,2020,11,2020-11,Early Recovery,QC,59.82,5.12,-1.1400000000000006,0.7400000000000002
2020-12-01,Quebec,58.97,5.95,43.49,3437.1,346.7,8700.0,2020,12,2020-12,Early Recovery,QC,59.82,5.12,-0.8500000000000014,0.8300000000000001
2021-01-01,Quebec,59.52,5.44,43.52,3469.3,317.3,8700.0,2021,1,2021-01,Early Recovery,QC,59.82,5.12,-0.29999999999999716,0.3200000000000003
2021-02-01,Quebec,59.51,5.61,43.63,3468.8,326.8,8700.0,2021,2,2021-02,Early Recovery,QC,59.82,5.12,-0.3100000000000023,0.4900000000000002
2021-03-01,Quebec,59.3,5.58,43.47,3456.5,325.4,8700.0,2021,3,2021-03,Early Recovery,QC,59.82,5.12,-0.5200000000000031,0.45999999999999996
2021-04-01,Quebec,59.49,5.45,43.51,3467.5,317.9,8700.0,2021,4,2021-04,Early Recovery,QC,59.82,5.12,-0.3299999999999983,0.33000000000000007
2021-05-01,Quebec,59.55,5.62,43.66,3471.0,327.8,8700.0,2021,5,2021-05,Early Recovery,QC,59.82,5.12,-0.2700000000000031,0.5
2021-06-01,Quebec,59.69,5.67,43.79,3479.4,330.7,8700.0,2021,6,2021-06,Early Recovery,QC,59.82,5.12,-0.13000000000000256,0.5499999999999998
2021-07-01,Quebec,59.2,5.47,43.33,3450.7,319.1,8700.0,2021,7,2021-07,Full Recovery,QC,59.82,5.12,-0.6199999999999974,0.34999999999999964
2021-08-01,Quebec,59.58,5.62,43.68,3472.8,327.5,8700.0,2021,8,2021-08,Full Recovery,QC,59.82,5.12,-0.240000000000002,0.5
2021-09-01,Quebec,59.58,5.95,43.91,3472.8,347.0,8700.0,2021,9,2021-09,Full Recovery,QC,59.82,5.12,-0.240000000000002,0.8300000000000001
2021-10-01,Quebec,59.59,5.68,43.73,3473.5,331.1,8700.0,2021,10,2021-10,Full Recovery,QC,59.82,5.12,-0.22999999999999687,0.5599999999999996
2021-11-01,Quebec,59.67,5.63,43.75,3477.9,328.3,8700.0,2021,11,2021-11,Full Recovery,QC,59.82,5.12,-0.14999999999999858,0.5099999999999998
2021-12-01,Quebec,59.52,5.57,43.61,3469.2,324.7,8700.0,2021,12,2021-12,Full Recovery,QC,59.82,5.12,-0.29999999999999716,0.4500000000000002
2022-01-01,Quebec,59.85,5.18,43.56,3488.4,301.7,8700.0,2022,1,2022-01,Full Recovery,QC,59.82,5.12,0.030000000000001137,0.05999999999999961
2022-02-01,Quebec,59.9,5.21,43.62,3491.7,303.6,8700.0,2022,2,2022-02,Full Recovery,QC,59.82,5.12,0.0799999999999983,0.08999999999999986
2022-03-01,Quebec,60.46,5.01,43.87,3524.4,292.2,8700.0,2022,3,2022-03,Full Recovery,QC,59.82,5.12,0.6400000000000006,-0.11000000000000032
2022-04-01,Quebec,60.14,5.04,43.67,3505.4,293.7,8700.0,2022,4,2022-04,Full Recovery,QC,59.82,5.12,0.3200000000000003,-0.08000000000000007
2022-05-01,Quebec,59.91,5.31,43.69,3491.9,309.5,8700.0,2022,5,2022-05,Full Recovery,QC,59.82,5.12,0.0899999999999963,0.1899999999999995
2022-06-01,Quebec,60.01,5.09,43.62,3498.1,296.8,8700.0,2022,6,2022-06,Full Recovery,QC,59.82,5.12,0.18999999999999773,-0.03000000000000025
2022-07-01,Quebec,59.86,5.27,43.63,3489.1,307.1,8700.0,2022,7,2022-07,Post-Recovery,QC,59.82,5.12,0.03999999999999915,0.14999999999999947
2022-08-01,Quebec,59.85,5.22,43.6,3488.9,304.4,8700.0,2022,8,2022-08,Post-Recovery,QC,59.82,5.12,0.030000000000001137,0.09999999999999964
2022-09-01,Quebec,60.01,5.13,43.65,3497.9,299.3,8700.0,2022,9,2022-09,Post-Recovery,QC,59.82,5.12,0.18999999999999773,0.009999999999999787
2022-10-01,Quebec,60.43,5.26,44.01,3522.4,306.8,8700.0,2022,10,2022-10,Post-Recovery,QC,59.82,5.12,0.6099999999999994,0.13999999999999968
2022-11-01,Quebec,59.59,5.22,43.43,3473.8,304.2,8700.0,2022,11,2022-11,Post-Recovery,QC,59.82,5.12,-0.22999999999999687,0.09999999999999964
2022-12-01,Quebec,59.87,5.29,43.65,3489.7,308.1,8700.0,2022,12,2022-12,Post-Recovery,QC,59.82,5.12,0.04999999999999716,0.16999999999999993
2023-01-01,Quebec,59.84,5.19,43.57,3488.2,302.4,8700.0,2023,1,2023-01,Post-Recovery,QC,59.82,5.12,0.020000000000003126,0.07000000000000028
2023-02-01,Quebec,60.1,5.29,43.81,3503.3,308.2,8700.0,2023,2,2023-02,Post-Recovery,QC,59.82,5.12,0.28000000000000114,0.16999999999999993
2023-03-01,Quebec,59.76,5.17,43.5,3483.4,301.2,8700.0,2023,3,2023-03,Post-Recovery,QC,59.82,5.12,-0.060000000000002274,0.04999999999999982
2023-04-01,Quebec,59.91,5.13,43.58,3491.9,299.3,8700.0,2023,4,2023-04,Post-Recovery,QC,59.82,5.12,0.0899999999999963,0.009999999999999787
2023-05-01,Quebec,60.35,5.24,43.95,3518.0,305.5,8700.0,2023,5,2023-05,Post-Recovery,QC,59.82,5.12,0.5300000000000011,0.1200000000000001
2023-06-01,Quebec,59.75,5.29,43.58,3482.7,308.5,8700.0,2023,6,2023-06,Post-Recovery,QC,59.82,5.12,-0.07000000000000028,0.16999999999999993
2023-07-01,Quebec,60.42,5.3,44.04,3522.1,309.1,8700.0,2023,7,2023-07,Post-Recovery,QC,59.82,5.12,0.6000000000000014,0.17999999999999972
2023-08-01,Quebec,59.7,5.15,43.45,3479.7,300.3,8700.0,2023,8,2023-08,Post-Recovery,QC,59.82,5.12,-0.11999999999999744,0.03000000000000025
2023-09-01,Quebec,60.25,5.13,43.81,3512.2,299.0,8700.0,2023,9,2023-09,Post-Recovery,QC,59.82,5.12,0.4299999999999997,0.009999999999999787
2023-10-01,Quebec,60.09,5.28,43.8,3502.6,307.6,8700.0,2023,10,2023-10,Post-Recovery,QC,59.82,5.12,0.2700000000000031,0.16000000000000014
2023-11-01,Quebec,59.81,5.19,43.56,3486.6,302.8,8700.0,2023,11,2023-11,Post-Recovery,QC,59.82,5.12,-0.00999999999999801,0.07000000000000028
2023-12-01,Quebec,59.35,5.1,43.18,3459.6,297.1,8700.0,2023,12,2023-12,Post-Recovery,QC,59.82,5.12,-0.46999999999999886,-0.020000000000000462
2024-01-01,Quebec,59.95,5.08,43.57,3494.5,295.8,8700.0,2024,1,2024-01,Post-Recovery,QC,59.82,5.12,0.13000000000000256,-0.040000000000000036
2024-02-01,Quebec,60.33,5.06,43.81,3516.4,294.8,8700.0,2024,2,2024-02,Post-Recovery,QC,59.82,5.12,0.509999999999998,-0.0600000000000005
2024-03-01,Quebec,59.91,5.21,43.63,3492.3,303.9,8700.0,2024,3,2024-03,Post-Recovery,QC,59.82,5.12,0.0899999999999963,0.08999999999999986
2024-04-01,Quebec,60.29,5.06,43.78,3514.2,294.7,8700.0,2024,4,2024-04,Post-Recovery,QC,59.82,5.12,0.46999999999999886,-0.0600000000000005
2024-05-01,Quebec,60.23,5.2,43.84,3511.0,303.2,8700.0,2024,5,2024-05,Post-Recovery,QC,59.82,5.12,0.4099999999999966,0.08000000000000007
2024-06-01,Quebec,59.8,5.25,43.58,3486.0,305.8,8700.0,2024,6,2024-06,Post-Recovery,QC,59.82,5.12,-0.020000000000003126,0.1299999999999999
2024-07-01,Quebec,60.04,5.14,43.67,3499.7,299.6,8700.0,2024,7,2024-07,Post-Recovery,QC,59.82,5.12,0.21999999999999886,0.019999999999999574
2024-08-01,Quebec,60.01,5.16,43.67,3498.2,300.9,8700.0,2024,8,2024-08,Post-Recovery,QC,59.82,5.12,0.18999999999999773,0.040000000000000036
2024-09-01,Quebec,60.02,5.27,43.74,3498.7,307.0,8700.0,2024,9,2024-09,Post-Recovery,QC,59.82,5.12,0.20000000000000284,0.14999999999999947
2024-10-01,Quebec,60.32,5.08,43.81,3515.9,295.9,8700.0,2024,10,2024-10,Post-Recovery,QC,59.82,5.12,0.5,-0.040000000000000036
2024-11-01,Quebec,60.43,5.0,43.84,3522.3,291.7,8700.0,2024,11,2024-11,Post-Recovery,QC,59.82,5.12,0.6099999999999994,-0.1200000000000001
2024-12-01,Quebec,59.97,5.26,43.7,3495.6,306.5,8700.0,2024,12,2024-12,Post-Recovery,QC,59.82,5.12,0.14999999999999858,0.13999999999999968
2019-01-01,British Columbia,62.06,4.74,44.75,2245.2,171.4,5400.0,2019,1,2019-01,Pre-COVID (2019),BC,62.26,4.8,-0.19999999999999574,-0.05999999999999961
2019-02-01,British Columbia,61.96,4.75,44.7,2241.7,171.9,5400.0,2019,2,2019-02,Pre-COVID (2019),BC,62.26,4.8,-0.29999999999999716,-0.04999999999999982
2019-03-01,British Columbia,61.88,4.88,44.73,2238.9,176.7,5400.0,2019,3,2019-03,Pre-COVID (2019),BC,62.26,4.8,-0.37999999999999545,0.08000000000000007
2019-04-01,British Columbia,62.07,4.73,44.76,2245.7,171.2,5400.0,2019,4,2019-04,Pre-COVID (2019),BC,62.26,4.8,-0.18999999999999773,-0.0699999999999994
2019-05-01,British Columbia,62.18,4.83,44.9,2249.7,174.8,5400.0,2019,5,2019-05,Pre-COVID (2019),BC,62.26,4.8,-0.0799999999999983,0.03000000000000025
2019-06-01,British Columbia,62.16,4.86,44.91,2249.0,175.9,5400.0,2019,6,2019-06,Pre-COVID (2019),BC,62.26,4.8,-0.10000000000000142,0.0600000000000005
2019-07-01,British Columbia,61.83,4.74,44.61,2237.2,171.6,5400.0,2019,7,2019-07,Pre-COVID (2019),BC,62.26,4.8,-0.4299999999999997,-0.05999999999999961
2019-08-01,British Columbia,62.15,4.86,44.9,2248.6,175.9,5400.0,2019,8,2019-08,Pre-COVID (2019),BC,62.26,4.8,-0.10999999999999943,0.0600000000000005
2019-09-01,British Columbia,62.0,4.81,44.76,2243.0,174.1,5400.0,2019,9,2019-09,Pre-COVID (2019),BC,62.26,4.8,-0.259999999999998,0.009999999999999787
2019-10-01,British Columbia,62.26,4.74,44.89,2252.4,171.5,5400.0,2019,10,2019-10,Pre-COVID (2019),BC,62.26,4.8,0.0,-0.05999999999999961
2019-11-01,British Columbia,62.11,4.78,44.82,2247.1,172.9,5400.0,2019,11,2019-11,Pre-COVID (2019),BC,62.26,4.8,-0.14999999999999858,-0.019999999999999574
2019-12-01,British Columbia,61.96,4.91,44.8,2241.6,177.6,5400.0,2019,12,2019-12,Pre-COVID (2019),BC,62.26,4.8,-0.29999999999999716,0.11000000000000032
2020-01-01,British Columbia,62.17,4.88,44.92,2249.1,176.6,5400.0,2020,1,2020-01,Pre-COVID (2020),BC,62.26,4.8,-0.0899999999999963,0.08000000000000007
2020-02-01,British Columbia,62.26,4.8,44.93,2252.6,173.7,5400.0,2020,2,2020-02,Pre-COVID (2020),BC,62.26,4.8,0.0,0.0
2020-03-01,British Columbia,59.44,6.66,44.28,2150.4,240.9,5400.0,2020,3,2020-03,COVID Shock,BC,62.26,4.8,-2.8200000000000003,1.8600000000000003
2020-04-01,British Columbia,53.51,10.77,43.07,1936.2,389.7,5400.0,2020,4,2020-04,COVID Shock,BC,62.26,4.8,-8.75,5.97
2020-05-01,British Columbia,56.17,8.95,43.63,2032.2,324.0,5400.0,2020,5,2020-05,COVID Shock,BC,62.26,4.8,-6.089999999999996,4.1499999999999995
